            Australian Bureau of Statistics,I0ut,Commodity,Measure or Industry division (ANZSIC),Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Natural i0ut,Biofuels,Total supply,PJ,11.00,11.00,9.00,10.00,11.00,15.00,20.00,23.00,26.00,28.00,26.00,29.00,28.00,23.00,22.00,23.00
Supply,Natural i0ut,Wood and wood waste,Total supply,PJ,105.00,103.00,100.00,99.00,99.00,99.00,89.00,88.00,85.00,83.00,91.00,93.00,92.00,96.00,98.00,94.00
Supply,Natural i0ut,Bagasse,Total supply,PJ,95.00,101.00,108.00,109.00,111.00,111.00,65.00,93.00,83.00,85.00,95.00,90.00,103.00,103.00,110.00,100.00
Supply,Natural i0ut,Electricity,Total supply,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Natural i0ut,Hydro energy,Total supply,PJ,59.00,59.00,56.00,58.00,52.00,43.00,43.00,49.00,61.00,51.00,66.00,66.00,48.00,55.00,59.00,58.00
Supply,Natural i0ut,Solar energy ,Total supply,PJ,3.00,3.00,3.00,3.00,6.00,7.00,9.00,12.00,17.00,22.00,27.00,29.00,35.00,40.00,45.00,53.00
Supply,Natural i0ut,Wind energy,Total supply,PJ,3.00,3.00,3.00,6.00,9.00,11.00,14.00,18.00,22.00,25.00,29.00,37.00,41.00,44.00,45.00,55.00
Supply,Natural i0ut,Uranium,Total supply,PJ,4311.00,4497.00,5154.00,4710.00,4480.00,4757.00,4854.00,3319.00,3355.00,3602.00,4209.00,2795.00,3053.00,3603.00,3429.00,3127.00
Supply,Production of Energy,Black coal,"Agriculture, forestry and fishing",PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Brown coal,"Agriculture, forestry and fishing",PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
