"Australian Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,
"46040DO0006 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,
"Table 6.1 Detailed net physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Commodity,Industry division (ANZSIC),ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Black coal,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Information media and telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Black coal,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
