"Australian Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,
"46040DO0006 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,
"Table 6.1 Detailed net physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Commodity,Industry division (ANZSIC),ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Solar energy,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Mining,B,Coal Mining,06,PJ,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Supply,Black coal,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Mining,B,Oil and Gas Extraction,07,PJ,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Supply,Liquefied natural gas,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Mining,B,Oil and Gas Extraction,07,PJ,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Supply,Petrol,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Mining,B,Oil and Gas Extraction,07,PJ,126,125,127,130,150,132,134,136,117,118,114,116,99,99,83,82
Supply,Biofuels,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Mining,B,Oil and Gas Extraction,07,PJ,"2,821","2,621","2,705","2,716","3,096","3,073","3,310","3,395","3,530","3,326","3,558","3,588","3,602","4,300","4,937","5,495"
Supply,Black coal,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
