Date,Sex,Location,Employed full-time ('000),Employed part-time ('000),Black coal,Brown coal,Crude oil,Condensate,LPG,Natural Gas,Uranium
2002,Females,VIC,0,0.25529048,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,QLD,0.23556378,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,QLD,0.99437073,0.23127307,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,WA,3.26945608,0.17524231,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,WA,2.36848023,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,TAS,0.16364039,0.0848217,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,NT,0.32281734,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,NSW,3.16333556,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,NSW,11.82904437,0.57393651,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,VIC,3.95245368,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,VIC,3.70257073,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,QLD,2.77586969,0.2322937,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,QLD,17.45089129,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,SA,2.7415224,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,SA,0.36996503,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,WA,18.26858258,0.16989856,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,WA,10.66747941,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,TAS,0.3092108,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,TAS,1.68690876,0.08023553,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Males,NT,2.47841634,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,NSW,0.33411222,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,VIC,0.36440184,0.28435689,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,QLD,0.49148787,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,QLD,1.52308211,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,SA,0,0.18314782,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,WA,2.32094363,1.09363702,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,WA,1.67885732,0.40078923,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,TAS,0.09974774,0,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2002,Females,NT,0.18162698,0.16282135,"3,912",573,"25,516","17,488","8,119","19,881",49.0
2003,Males,NSW,3.95829964,0.34568116,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NSW,16.67087707,0.74779976,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,VIC,3.6730687,0.24602698,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,VIC,3.3993642,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,QLD,3.99005423,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,QLD,11.350361,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,SA,2.15845951,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,SA,4.88681147,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,WA,17.69628945,0.37610409,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,WA,11.61283203,0.1582742,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,TAS,0.17740899,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,TAS,1.62247269,0.06551557,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NT,2.21015761,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NSW,0.35098854,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NSW,0,0.42977097,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,VIC,0.66345404,0.87793608,"4,785",600,"29,029","21,732","8,629","24,754",34.0
